distance,time_of_day,weather,traffic_level,travel_time
1.18,afternoon,fog,high,3.45
10.29,afternoon,clear,low,12.35
3.49,afternoon,clear,low,4.19
14.45,night,fog,high,42.27
3.08,night,rain,low,4.44
6.8,evening,clear,low,8.16
2.19,afternoon,clear,medium,3.28
14.96,afternoon,rain,low,21.54
8.03,afternoon,fog,high,23.49
9.34,evening,fog,low,14.57
1.94,afternoon,rain,medium,3.49
11.5,night,fog,low,17.94
3.94,afternoon,fog,low,6.15
13.57,morning,clear,low,16.28
3.87,night,clear,medium,5.8
3.67,evening,clear,high,8.26
1.51,afternoon,rain,high,4.08
7.61,morning,fog,medium,14.84
8.91,evening,fog,medium,17.37
1.92,evening,clear,low,2.3
11.86,night,clear,high,26.68
7.35,evening,rain,medium,13.23
8.34,evening,fog,high,24.39
7.17,evening,rain,low,10.32
6.61,evening,fog,medium,12.89
8.83,afternoon,rain,high,23.84
3.17,afternoon,clear,high,7.13
3.55,afternoon,rain,low,5.11
13.06,afternoon,rain,medium,23.51
14.25,morning,clear,high,32.06
6.23,afternoon,fog,low,9.72
4.79,evening,fog,high,14.01
10.02,afternoon,clear,low,12.02
6.72,afternoon,rain,high,18.14
1.36,night,rain,high,3.67
3.19,evening,rain,low,4.59
11.02,afternoon,fog,medium,21.49
10.22,afternoon,rain,low,14.72
1.38,afternoon,fog,medium,2.69
4.11,morning,rain,high,11.1
4.24,afternoon,clear,high,9.54
10.41,night,clear,low,12.49
1.28,evening,fog,low,2.0
2.46,evening,fog,medium,4.8
12.2,afternoon,clear,medium,18.3
3.5,afternoon,clear,medium,5.25
10.14,afternoon,rain,low,14.6
4.33,evening,clear,high,9.74
2.39,evening,fog,low,3.73
4.4,morning,clear,high,9.9
11.11,night,fog,low,17.33
12.98,morning,fog,low,20.25
12.62,night,rain,medium,22.72
6.56,morning,rain,high,17.71
10.35,evening,rain,low,14.9
3.87,morning,rain,low,5.57
5.1,night,clear,high,11.48
13.55,afternoon,rain,low,19.51
1.18,night,clear,high,2.66
2.2,afternoon,rain,medium,3.96
3.91,evening,rain,medium,7.04
1.37,night,fog,high,4.01
3.54,morning,clear,medium,5.31
9.16,night,fog,high,26.79
6.9,afternoon,rain,low,9.94
13.5,evening,clear,low,16.2
12.44,morning,rain,high,33.59
5.79,night,fog,low,9.03
4.63,afternoon,clear,medium,6.94
6.32,morning,fog,low,9.86
9.26,evening,rain,low,13.33
4.75,morning,rain,high,12.82
9.74,evening,rain,medium,17.53
6.73,morning,clear,low,8.08
8.73,night,fog,low,13.62
7.11,afternoon,fog,high,20.8
5.12,night,rain,high,13.82
14.28,night,fog,medium,27.85
11.69,evening,clear,low,14.03
2.96,evening,rain,high,7.99
13.16,evening,rain,high,35.53
7.82,night,rain,high,21.11
13.52,morning,clear,medium,20.28
12.2,morning,rain,high,32.94
6.95,night,rain,medium,12.51
1.31,night,rain,medium,2.36
4.76,afternoon,rain,low,6.85
8.58,evening,fog,low,13.38
9.87,evening,rain,medium,17.77
4.61,night,clear,low,5.53
2.95,night,rain,low,4.25
12.69,morning,rain,high,34.26
14.78,night,fog,low,23.06
8.36,morning,rain,medium,15.05
3.4,night,fog,low,5.3
4.81,afternoon,clear,high,10.82
1.26,afternoon,fog,medium,2.46
13.8,morning,rain,low,19.87
2.65,evening,clear,medium,3.98
9.07,afternoon,rain,low,13.06
4.84,morning,fog,high,14.16
8.76,night,clear,low,10.51
10.12,night,clear,medium,15.18
12.62,morning,fog,medium,24.61
3.89,evening,fog,medium,7.59
1.15,morning,clear,low,1.38
2.92,morning,clear,low,3.5
13.6,afternoon,fog,low,21.22
13.23,morning,rain,high,35.72
9.36,morning,clear,high,21.06
9.41,night,fog,high,27.52
10.31,afternoon,rain,medium,18.56
3.46,night,clear,medium,5.19
13.8,night,clear,medium,20.7
6.86,evening,fog,medium,13.38
6.36,evening,rain,medium,11.45
8.26,afternoon,clear,low,9.91
1.66,afternoon,rain,medium,2.99
3.33,evening,rain,low,4.8
11.33,evening,clear,high,25.49
2.16,evening,rain,high,5.83
9.44,evening,clear,high,21.24
4.43,evening,rain,high,11.96
6.45,night,clear,high,14.51
5.04,afternoon,fog,medium,9.83
5.98,night,clear,medium,8.97
11.07,night,clear,medium,16.6
5.16,morning,clear,high,11.61
8.93,night,rain,high,24.11
7.66,evening,fog,low,11.95
10.29,evening,rain,medium,18.52
14.12,morning,rain,high,38.12
11.26,morning,clear,high,25.33
4.01,morning,rain,high,10.83
1.44,morning,clear,low,1.73
4.67,morning,fog,high,13.66
9.33,night,rain,low,13.44
1.72,morning,rain,low,2.48
7.95,night,rain,medium,14.31
9.36,afternoon,clear,high,21.06
5.68,morning,clear,low,6.82
11.79,morning,rain,high,31.83
2.49,night,rain,medium,4.48
2.05,afternoon,fog,medium,4.0
11.19,night,fog,low,17.46
7.94,night,fog,medium,15.48
10.64,morning,fog,medium,20.75
7.09,evening,fog,medium,13.83
4.45,evening,clear,high,10.01
12.47,night,fog,high,36.47
12.19,morning,fog,low,19.02
10.73,afternoon,rain,low,15.45
4.81,evening,clear,medium,7.22
9.26,afternoon,fog,medium,18.06
6.05,evening,fog,low,9.44
2.28,morning,fog,medium,4.45
13.84,night,rain,low,19.93
2.92,afternoon,rain,high,7.88
14.3,afternoon,rain,medium,25.74
7.24,night,fog,medium,14.12
3.59,afternoon,rain,medium,6.46
8.59,evening,fog,high,25.13
13.22,night,clear,high,29.75
11.25,evening,fog,medium,21.94
12.29,evening,rain,low,17.7
10.22,morning,clear,high,23.0
10.69,evening,fog,medium,20.85
12.89,morning,clear,medium,19.34
4.5,afternoon,clear,high,10.12
7.85,afternoon,clear,low,9.42
4.1,morning,fog,medium,7.99
14.83,evening,rain,low,21.36
14.22,night,fog,low,22.18
1.55,night,rain,high,4.19
10.88,morning,fog,medium,21.22
13.95,afternoon,fog,medium,27.2
3.53,afternoon,fog,low,5.51
8.95,night,rain,high,24.16
13.82,morning,fog,high,40.42
1.48,night,clear,high,3.33
10.76,evening,fog,low,16.79
5.16,evening,clear,low,6.19
13.94,morning,rain,medium,25.09
14.59,morning,rain,high,39.39
14.22,evening,fog,low,22.18
7.64,afternoon,fog,high,22.35
13.07,morning,fog,low,20.39
12.82,evening,clear,medium,19.23
5.47,evening,rain,high,14.77
12.6,afternoon,clear,low,15.12
1.52,afternoon,clear,high,3.42
9.35,afternoon,fog,low,14.59
4.22,afternoon,fog,low,6.58
2.69,night,clear,low,3.23
2.08,afternoon,clear,high,4.68
10.75,night,fog,low,16.77
5.76,morning,fog,medium,11.23
11.15,evening,clear,high,25.09
1.91,night,fog,medium,3.72
5.41,morning,fog,medium,10.55
8.55,morning,clear,high,19.24
12.07,night,clear,low,14.48
5.46,morning,rain,medium,9.83
9.76,morning,clear,high,21.96
13.4,night,fog,low,20.9
9.62,morning,clear,high,21.64
4.26,afternoon,clear,high,9.58
1.34,afternoon,clear,high,3.02
13.18,evening,rain,low,18.98
1.3,morning,rain,medium,2.34
13.25,evening,fog,medium,25.84
8.41,afternoon,rain,high,22.71
14.15,afternoon,clear,high,31.84
12.18,afternoon,rain,low,17.54
14.97,morning,clear,high,33.68
5.91,morning,rain,high,15.96
11.74,afternoon,rain,high,31.7
6.63,evening,rain,medium,11.93
7.72,evening,clear,high,17.37
9.79,night,rain,medium,17.62
13.23,afternoon,clear,low,15.88
14.78,evening,clear,low,17.74
11.76,afternoon,fog,medium,22.93
6.85,evening,rain,medium,12.33
6.9,night,fog,medium,13.46
11.33,night,fog,medium,22.09
4.34,afternoon,clear,high,9.76
2.55,evening,rain,medium,4.59
5.96,morning,clear,medium,8.94
5.02,night,clear,medium,7.53
5.15,afternoon,rain,high,13.9
4.27,afternoon,clear,high,9.61
1.59,evening,rain,high,4.29
1.25,afternoon,rain,low,1.8
14.83,night,clear,high,33.37
6.99,afternoon,clear,medium,10.49
6.38,afternoon,fog,high,18.66
10.52,morning,clear,high,23.67
4.06,morning,rain,medium,7.31
14.3,night,fog,high,41.83
12.01,evening,rain,low,17.29
2.25,morning,fog,high,6.58
6.85,evening,clear,low,8.22
13.31,night,clear,low,15.97
14.23,morning,clear,low,17.08
7.54,evening,rain,medium,13.57
9.59,morning,fog,high,28.05
3.34,night,rain,low,4.81
14.88,night,fog,low,23.21
4.24,morning,clear,high,9.54
14.2,evening,rain,medium,25.56
10.1,afternoon,clear,medium,15.15
9.51,afternoon,rain,low,13.69
8.18,morning,clear,medium,12.27
4.23,evening,rain,high,11.42
3.47,afternoon,rain,medium,6.25
4.09,night,fog,high,11.96
3.61,evening,clear,low,4.33
11.91,afternoon,fog,high,34.84
5.9,evening,fog,low,9.2
1.81,morning,clear,high,4.07
14.57,evening,rain,high,39.34
13.37,afternoon,fog,medium,26.07
13.99,morning,clear,high,31.48
14.93,evening,rain,low,21.5
3.43,night,fog,high,10.03
6.55,afternoon,fog,low,10.22
11.62,morning,fog,low,18.13
10.74,evening,rain,high,29.0
3.15,night,fog,medium,6.14
12.42,afternoon,rain,high,33.53
4.14,night,fog,high,12.11
4.13,evening,clear,medium,6.19
8.52,evening,fog,low,13.29
9.3,morning,clear,high,20.92
9.12,night,clear,medium,13.68
2.28,morning,clear,medium,3.42
13.28,afternoon,rain,low,19.12
4.72,morning,clear,medium,7.08
2.81,afternoon,fog,low,4.38
13.44,evening,rain,high,36.29
14.38,evening,clear,medium,21.57
13.07,night,rain,high,35.29
12.33,afternoon,rain,medium,22.19
10.17,evening,rain,medium,18.31
8.71,night,fog,high,25.48
2.22,night,clear,medium,3.33
6.72,morning,rain,high,18.14
6.22,night,rain,high,16.79
4.64,evening,rain,low,6.68
11.13,morning,clear,high,25.04
7.94,afternoon,rain,low,11.43
2.13,afternoon,rain,high,5.75
4.08,evening,fog,medium,7.96
10.57,evening,clear,high,23.78
2.07,morning,fog,medium,4.04
12.92,morning,clear,low,15.5
7.93,evening,clear,medium,11.9
7.73,evening,clear,high,17.39
9.29,afternoon,fog,medium,18.12
12.55,afternoon,fog,low,19.58
5.87,afternoon,fog,medium,11.45
10.49,evening,fog,medium,20.46
8.92,night,rain,high,24.08
4.74,evening,rain,high,12.8
13.3,evening,rain,medium,23.94
12.16,afternoon,clear,low,14.59
10.22,evening,rain,medium,18.4
12.91,morning,clear,low,15.49
13.14,evening,fog,low,20.5
10.92,evening,clear,low,13.1
12.72,evening,clear,medium,19.08
10.76,evening,rain,low,15.49
10.52,night,fog,medium,20.51
9.66,evening,fog,low,15.07
11.54,morning,rain,low,16.62
3.22,morning,fog,medium,6.28
13.33,evening,fog,high,38.99
13.21,afternoon,fog,high,38.64
1.41,night,rain,medium,2.54
12.56,evening,fog,medium,24.49
2.8,evening,clear,high,6.3
5.69,evening,clear,high,12.8
11.41,afternoon,fog,high,33.37
3.25,afternoon,rain,medium,5.85
12.45,afternoon,rain,low,17.93
12.65,night,rain,medium,22.77
8.1,morning,fog,high,23.69
1.09,night,fog,low,1.7
5.02,afternoon,clear,medium,7.53
9.64,morning,rain,high,26.03
14.74,morning,clear,medium,22.11
9.85,afternoon,clear,low,11.82
4.64,afternoon,rain,high,12.53
9.88,night,fog,medium,19.27
8.56,afternoon,fog,low,13.35
11.92,morning,clear,low,14.3
2.5,evening,clear,medium,3.75
11.65,afternoon,clear,low,13.98
8.58,afternoon,clear,high,19.3
14.48,night,rain,low,20.85
5.79,night,clear,medium,8.68
9.86,afternoon,clear,high,22.18
14.05,morning,fog,low,21.92
2.44,morning,fog,low,3.81
14.12,evening,fog,high,41.3
10.63,afternoon,rain,high,28.7
1.95,night,rain,low,2.81
5.21,morning,fog,high,15.24
10.91,evening,fog,medium,21.27
1.94,afternoon,clear,low,2.33
9.15,morning,clear,medium,13.73
5.84,afternoon,rain,low,8.41
9.69,afternoon,rain,medium,17.44
1.64,morning,clear,medium,2.46
13.2,morning,fog,high,38.61
14.63,morning,clear,low,17.56
14.56,afternoon,rain,high,39.31
11.5,afternoon,rain,high,31.05
2.82,evening,clear,low,3.38
11.62,night,clear,medium,17.43
1.34,afternoon,clear,low,1.61
1.31,night,rain,low,1.89
5.53,morning,fog,low,8.63
7.84,afternoon,clear,high,17.64
11.79,evening,rain,low,16.98
10.57,evening,rain,low,15.22
7.24,night,rain,low,10.43
4.83,morning,clear,medium,7.24
14.96,night,clear,medium,22.44
6.97,morning,fog,medium,13.59
7.32,evening,rain,medium,13.18
3.29,night,clear,high,7.4
12.13,evening,rain,high,32.75
10.71,evening,rain,low,15.42
4.09,morning,fog,high,11.96
2.15,night,clear,medium,3.22
10.53,night,clear,low,12.64
10.16,evening,rain,low,14.63
4.83,evening,rain,medium,8.69
14.31,morning,fog,medium,27.9
3.11,afternoon,fog,medium,6.06
7.05,afternoon,fog,high,20.62
14.21,evening,fog,low,22.17
6.88,afternoon,fog,medium,13.42
9.94,afternoon,fog,low,15.51
6.57,afternoon,rain,low,9.46
4.84,afternoon,fog,high,14.16
14.78,evening,rain,low,21.28
6.73,afternoon,rain,medium,12.11
13.52,afternoon,clear,medium,20.28
4.22,morning,rain,low,6.08
3.98,evening,rain,low,5.73
1.44,night,fog,high,4.21
10.12,night,rain,medium,18.22
6.16,morning,fog,medium,12.01
13.1,morning,fog,low,20.44
7.62,evening,fog,low,11.89
14.55,night,clear,low,17.46
3.6,afternoon,fog,medium,7.02
13.16,morning,rain,low,18.95
11.87,night,fog,high,34.72
11.79,evening,fog,high,34.49
12.83,afternoon,fog,low,20.01
11.65,evening,clear,high,26.21
9.77,morning,rain,high,26.38
2.84,night,clear,high,6.39
1.46,night,rain,high,3.94
13.89,night,clear,high,31.25
9.63,night,rain,medium,17.33
12.15,afternoon,clear,low,14.58
7.74,afternoon,fog,high,22.64
2.64,evening,clear,low,3.17
2.75,afternoon,clear,high,6.19
10.6,morning,fog,medium,20.67
7.02,morning,fog,medium,13.69
3.81,night,rain,high,10.29
7.88,morning,rain,high,21.28
1.9,evening,rain,high,5.13
9.15,afternoon,clear,medium,13.73
4.77,afternoon,rain,medium,8.59
12.17,afternoon,clear,low,14.6
5.35,morning,clear,medium,8.02
7.37,afternoon,rain,high,19.9
1.16,night,rain,low,1.67
2.01,night,clear,medium,3.01
6.49,night,fog,medium,12.66
7.72,morning,fog,high,22.58
9.4,afternoon,clear,low,11.28
5.08,morning,rain,medium,9.14
10.73,afternoon,clear,medium,16.1
13.04,evening,clear,high,29.34
11.92,evening,rain,low,17.16
1.55,morning,fog,low,2.42
7.73,night,clear,low,9.28
2.47,morning,fog,low,3.85
4.39,night,fog,high,12.84
14.81,afternoon,rain,medium,26.66
2.99,night,clear,medium,4.49
7.98,night,clear,low,9.58
9.65,afternoon,fog,low,15.05
10.83,evening,fog,low,16.89
8.84,afternoon,rain,medium,15.91
1.14,morning,fog,medium,2.22
5.57,morning,rain,low,8.02
8.25,morning,clear,high,18.56
2.23,morning,rain,medium,4.01
5.91,morning,fog,medium,11.52
1.46,evening,clear,low,1.75
2.1,evening,rain,high,5.67
6.56,night,clear,low,7.87
2.86,morning,rain,low,4.12
8.95,afternoon,fog,high,26.18
10.65,morning,fog,high,31.15
12.21,evening,clear,high,27.47
3.8,morning,clear,medium,5.7
3.34,evening,clear,low,4.01
2.46,night,rain,medium,4.43
9.91,night,fog,high,28.99
10.89,night,clear,medium,16.34
1.44,evening,clear,high,3.24
14.11,morning,clear,high,31.75
1.73,morning,rain,low,2.49
8.58,afternoon,clear,low,10.3
10.93,evening,clear,low,13.12
13.19,afternoon,rain,medium,23.74
11.0,night,rain,low,15.84
12.22,morning,clear,high,27.49
5.75,evening,clear,low,6.9
12.41,afternoon,rain,medium,22.34
2.12,afternoon,fog,low,3.31
13.53,afternoon,rain,low,19.48
8.67,morning,fog,low,13.53
12.44,morning,clear,medium,18.66
7.33,morning,clear,high,16.49
10.01,evening,fog,high,29.28
8.37,morning,rain,high,22.6
11.24,evening,clear,low,13.49
2.14,afternoon,fog,low,3.34
1.84,afternoon,rain,medium,3.31
4.46,night,fog,high,13.05
3.23,morning,rain,low,4.65
13.2,afternoon,rain,low,19.01
4.07,morning,rain,low,5.86
14.66,evening,rain,medium,26.39
5.72,afternoon,fog,high,16.73
3.55,morning,fog,medium,6.92
12.06,afternoon,fog,high,35.28
10.22,afternoon,fog,high,29.89
7.97,morning,fog,low,12.43
8.78,afternoon,rain,low,12.64
11.07,afternoon,clear,low,13.28
4.2,afternoon,clear,low,5.04
14.95,afternoon,fog,low,23.32
14.65,evening,fog,high,42.85
10.1,afternoon,clear,low,12.12
3.79,night,rain,low,5.46
10.52,afternoon,fog,medium,20.51
2.01,morning,rain,medium,3.62
1.43,night,clear,high,3.22
4.61,evening,clear,high,10.37
7.48,night,fog,medium,14.59
13.16,night,rain,medium,23.69
11.18,night,fog,low,17.44
11.4,morning,clear,low,13.68
6.96,morning,rain,high,18.79
5.84,morning,fog,medium,11.39
6.19,evening,fog,high,18.11
14.83,morning,fog,low,23.13
1.56,morning,clear,high,3.51
13.14,night,fog,high,38.43
9.1,morning,rain,high,24.57
7.14,afternoon,fog,low,11.14
11.15,morning,clear,high,25.09
7.81,evening,fog,low,12.18
13.23,evening,clear,medium,19.84
13.61,afternoon,clear,high,30.62
6.9,evening,rain,high,18.63
4.88,evening,rain,low,7.03
9.29,night,fog,high,27.17
13.77,afternoon,clear,low,16.52
3.95,night,clear,high,8.89
9.72,night,rain,medium,17.5
9.84,morning,rain,medium,17.71
11.26,afternoon,fog,medium,21.96
2.84,morning,clear,high,6.39
11.02,morning,rain,high,29.75
13.73,night,fog,medium,26.77
3.52,evening,clear,medium,5.28
4.33,afternoon,clear,low,5.2
14.6,evening,rain,low,21.02
3.53,night,fog,medium,6.88
12.96,night,rain,medium,23.33
7.89,night,fog,high,23.08
4.46,night,clear,medium,6.69
13.19,night,fog,low,20.58
7.23,night,fog,low,11.28
8.21,evening,fog,low,12.81
6.03,morning,fog,low,9.41
9.3,evening,fog,low,14.51
3.29,afternoon,rain,low,4.74
6.48,evening,fog,medium,12.64
14.57,night,fog,low,22.73
4.61,evening,clear,low,5.53
10.19,morning,fog,low,15.9
5.55,afternoon,clear,low,6.66
11.83,evening,rain,medium,21.29
2.83,morning,rain,high,7.64
14.58,evening,fog,high,42.65
7.35,afternoon,rain,high,19.85
4.3,evening,fog,high,12.58
2.03,night,rain,low,2.92
3.38,evening,fog,high,9.89
8.28,morning,fog,high,24.22
5.72,evening,clear,medium,8.58
12.6,morning,clear,medium,18.9
7.03,afternoon,clear,medium,10.55
4.48,evening,clear,low,5.38
9.64,afternoon,fog,low,15.04
10.89,afternoon,rain,low,15.68
3.34,evening,fog,medium,6.51
3.35,morning,clear,high,7.54
1.51,afternoon,clear,medium,2.26
11.31,afternoon,rain,low,16.29
10.29,evening,clear,medium,15.43
7.64,evening,fog,high,22.35
12.82,evening,fog,low,20.0
12.28,evening,fog,high,35.92
9.19,evening,fog,high,26.88
13.16,night,fog,low,20.53
3.88,evening,rain,high,10.48
2.57,morning,fog,medium,5.01
4.78,afternoon,clear,high,10.76
1.8,morning,clear,high,4.05
8.44,morning,clear,high,18.99
14.11,night,clear,medium,21.16
1.55,evening,rain,high,4.19
2.71,afternoon,clear,high,6.1
7.33,morning,rain,medium,13.19
14.07,evening,clear,low,16.88
5.43,evening,rain,low,7.82
8.1,night,rain,low,11.66
1.58,night,rain,high,4.27
3.08,night,clear,low,3.7
14.81,afternoon,rain,medium,26.66
14.51,morning,fog,high,42.44
1.07,night,fog,high,3.13
14.33,night,clear,high,32.24
9.95,night,fog,low,15.52
13.15,morning,fog,low,20.51
7.37,morning,fog,low,11.5
8.22,night,clear,high,18.5
7.84,night,clear,medium,11.76
10.34,evening,fog,high,30.24
2.96,night,clear,medium,4.44
1.42,afternoon,rain,high,3.83
5.31,afternoon,fog,medium,10.35
10.87,night,clear,high,24.46
3.83,morning,clear,high,8.62
10.43,evening,fog,medium,20.34
14.58,morning,clear,medium,21.87
2.31,night,fog,medium,4.5
10.42,afternoon,clear,medium,15.63
7.21,evening,rain,medium,12.98
13.15,morning,fog,medium,25.64
3.48,morning,rain,medium,6.26
10.7,night,fog,medium,20.86
12.73,evening,clear,high,28.64
14.22,afternoon,rain,medium,25.6
10.57,night,clear,medium,15.85
7.96,evening,fog,high,23.28
9.65,morning,fog,high,28.23
13.16,night,fog,low,20.53
8.99,morning,fog,low,14.02
1.43,morning,fog,medium,2.79
14.03,night,rain,medium,25.25
10.65,night,fog,low,16.61
10.47,night,clear,low,12.56
4.02,night,rain,medium,7.24
10.22,night,clear,low,12.26
6.51,morning,fog,medium,12.69
10.12,afternoon,clear,high,22.77
2.49,afternoon,rain,high,6.72
10.21,night,rain,low,14.7
14.99,morning,rain,high,40.47
1.67,afternoon,clear,high,3.76
14.68,afternoon,rain,high,39.64
6.7,afternoon,clear,high,15.08
13.19,morning,fog,medium,25.72
11.95,night,fog,medium,23.3
8.94,night,clear,low,10.73
11.34,night,rain,high,30.62
13.3,evening,clear,high,29.93
6.66,evening,clear,high,14.98
5.58,evening,clear,low,6.7
10.35,morning,fog,medium,20.18
12.31,afternoon,clear,high,27.7
11.67,afternoon,fog,medium,22.76
12.17,morning,clear,low,14.6
7.1,morning,fog,medium,13.84
12.45,night,clear,high,28.01
2.68,night,clear,medium,4.02
8.62,evening,rain,medium,15.52
1.08,evening,rain,low,1.56
5.54,morning,clear,low,6.65
6.13,evening,clear,low,7.36
6.55,afternoon,clear,low,7.86
10.74,morning,clear,medium,16.11
6.44,morning,rain,medium,11.59
7.28,afternoon,fog,low,11.36
4.33,night,clear,low,5.2
6.23,night,rain,high,16.82
4.18,afternoon,clear,high,9.4
2.02,afternoon,clear,low,2.42
9.45,evening,fog,medium,18.43
10.35,morning,clear,low,12.42
9.67,evening,clear,medium,14.5
7.49,afternoon,fog,medium,14.61
6.32,evening,fog,high,18.49
13.09,afternoon,fog,low,20.42
8.27,evening,fog,low,12.9
7.71,evening,rain,medium,13.88
1.36,night,rain,low,1.96
5.78,afternoon,rain,high,15.61
6.32,evening,clear,high,14.22
6.58,morning,fog,low,10.26
9.12,evening,fog,low,14.23
8.47,evening,rain,high,22.87
9.51,morning,clear,low,11.41
11.71,afternoon,clear,medium,17.57
12.38,night,clear,low,14.86
11.05,night,rain,medium,19.89
14.38,night,clear,low,17.26
1.26,morning,clear,low,1.51
3.74,evening,clear,high,8.42
1.11,afternoon,fog,medium,2.16
10.06,evening,rain,high,27.16
13.57,night,fog,low,21.17
4.41,evening,fog,high,12.9
13.98,morning,rain,low,20.13
1.84,morning,fog,low,2.87
14.08,afternoon,clear,low,16.9
5.92,afternoon,clear,medium,8.88
2.42,night,clear,medium,3.63
7.8,afternoon,clear,medium,11.7
4.59,evening,rain,high,12.39
4.99,morning,fog,low,7.78
5.3,morning,fog,high,15.5
12.24,morning,clear,high,27.54
8.55,afternoon,clear,low,10.26
5.36,morning,fog,high,15.68
9.54,morning,rain,low,13.74
11.03,morning,fog,low,17.21
4.82,night,clear,low,5.78
6.79,night,clear,low,8.15
2.71,afternoon,rain,high,7.32
3.54,morning,fog,high,10.35
10.54,afternoon,rain,high,28.46
3.54,morning,rain,medium,6.37
8.35,morning,clear,high,18.79
10.93,morning,fog,high,31.97
2.5,afternoon,clear,medium,3.75
8.94,afternoon,fog,low,13.95
4.59,morning,clear,low,5.51
14.48,evening,clear,low,17.38
7.77,afternoon,fog,medium,15.15
12.28,night,fog,high,35.92
8.7,afternoon,clear,high,19.58
1.61,morning,fog,high,4.71
9.86,evening,clear,high,22.18
14.32,morning,fog,medium,27.92
9.42,night,clear,high,21.2
12.47,afternoon,clear,low,14.96
13.38,afternoon,clear,medium,20.07
4.19,morning,rain,medium,7.54
3.97,morning,fog,low,6.19
9.55,night,clear,low,11.46
6.75,evening,rain,high,18.22
12.76,night,clear,low,15.31
13.6,evening,rain,medium,24.48
5.95,afternoon,clear,medium,8.92
4.32,evening,clear,medium,6.48
11.93,evening,rain,high,32.21
4.85,afternoon,rain,high,13.1
12.52,afternoon,fog,low,19.53
6.93,afternoon,fog,high,20.27
10.35,night,rain,high,27.94
2.34,afternoon,fog,medium,4.56
9.73,morning,rain,medium,17.51
7.32,afternoon,fog,low,11.42
9.21,afternoon,clear,medium,13.82
3.35,afternoon,fog,high,9.8
11.32,evening,clear,low,13.58
13.08,night,clear,low,15.7
4.03,afternoon,fog,medium,7.86
2.34,night,rain,medium,4.21
1.33,morning,clear,medium,2.0
9.99,morning,clear,low,11.99
9.5,afternoon,fog,medium,18.53
8.65,morning,rain,high,23.35
4.25,night,rain,low,6.12
6.47,evening,fog,medium,12.62
9.32,afternoon,rain,high,25.16
7.95,morning,fog,high,23.25
14.83,night,fog,medium,28.92
2.91,night,fog,high,8.51
10.73,morning,clear,low,12.88
6.66,night,clear,low,7.99
6.99,night,clear,high,15.73
11.05,afternoon,fog,low,17.24
10.69,night,clear,medium,16.04
14.88,morning,clear,high,33.48
2.8,afternoon,clear,low,3.36
2.46,morning,fog,medium,4.8
11.14,evening,fog,medium,21.72
9.1,morning,fog,low,14.2
4.84,morning,clear,high,10.89
2.11,afternoon,rain,medium,3.8
2.2,night,clear,medium,3.3
13.52,morning,clear,medium,20.28
3.69,afternoon,fog,medium,7.2
5.53,evening,fog,high,16.18
4.17,afternoon,clear,low,5.0
5.97,afternoon,clear,low,7.16
1.97,night,rain,low,2.84
8.27,morning,rain,medium,14.89
1.95,evening,fog,high,5.7
12.2,afternoon,rain,low,17.57
4.27,morning,rain,high,11.53
8.56,morning,fog,low,13.35
13.32,afternoon,rain,medium,23.98
10.11,morning,clear,low,12.13
8.46,afternoon,rain,medium,15.23
5.54,afternoon,fog,medium,10.8
5.66,afternoon,clear,low,6.79
10.37,evening,rain,high,28.0
14.92,afternoon,clear,medium,22.38
10.27,night,clear,high,23.11
8.81,morning,rain,low,12.69
11.23,evening,rain,medium,20.21
7.51,morning,fog,high,21.97
1.84,evening,fog,medium,3.59
8.87,night,clear,low,10.64
14.41,evening,fog,medium,28.1
3.45,evening,clear,low,4.14
10.66,evening,clear,high,23.98
3.81,morning,fog,medium,7.43
8.5,afternoon,fog,high,24.86
2.35,morning,fog,low,3.67
7.31,afternoon,rain,low,10.53
11.59,morning,clear,high,26.08
5.87,night,clear,high,13.21
10.31,night,clear,low,12.37
12.14,evening,fog,high,35.51
13.98,night,fog,low,21.81
4.28,evening,fog,high,12.52
6.59,afternoon,fog,low,10.28
3.13,night,fog,low,4.88
14.89,afternoon,rain,medium,26.8
13.98,morning,fog,low,21.81
8.56,afternoon,clear,low,10.27
12.79,morning,fog,medium,24.94
8.29,afternoon,clear,medium,12.43
9.73,afternoon,fog,high,28.46
2.25,night,fog,high,6.58
11.57,afternoon,clear,low,13.88
2.79,night,clear,high,6.28
12.56,night,clear,high,28.26
11.95,evening,clear,low,14.34
10.92,evening,rain,medium,19.66
1.51,morning,clear,medium,2.26
5.24,afternoon,fog,low,8.17
4.68,morning,fog,low,7.3
6.04,afternoon,rain,low,8.7
2.23,evening,clear,low,2.68
14.12,evening,fog,low,22.03
8.75,afternoon,rain,low,12.6
5.28,afternoon,fog,high,15.44
6.56,evening,rain,high,17.71
7.26,evening,rain,high,19.6
9.41,morning,clear,medium,14.12
8.22,evening,rain,low,11.84
13.87,afternoon,fog,low,21.64
7.96,morning,fog,high,23.28
14.89,afternoon,clear,medium,22.34
12.92,night,clear,high,29.07
3.92,morning,rain,low,5.64
14.03,afternoon,clear,low,16.84
2.63,evening,fog,high,7.69
12.44,night,fog,high,36.39
6.33,afternoon,clear,low,7.6
13.29,morning,clear,high,29.9
13.15,afternoon,clear,low,15.78
12.28,night,rain,high,33.16
12.06,morning,rain,medium,21.71
5.27,night,fog,low,8.22
2.13,afternoon,rain,medium,3.83
6.64,evening,rain,high,17.93
3.43,evening,rain,medium,6.17
